Name 	Type 	Cat. 	PP 	Att. 	Acc. 	Effect
Cross Chop 			5 	100 	80 	The user delivers a double chop with its forearms crossed. It has a high critical-hit ratio.
Cross Poison 			20 	70 	100 	A slashing attack that may also leave the target poisoned. It has a high critical-hit ratio.
Crunch 			15 	80 	100 	The user crunches up the foe with sharp fangs. It may also lower the target's Defense stat.
Crush Claw 			10 	75 	95 	The user slashes the foe with hard and sharp claws. It may also lower the target's Defense.
Crush Grip 			5 	-- 	100 	The foe is crushed with great force. The attack is more powerful the more HP the foe has left.
Cut 			30 	50 	95 	The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.
Dig 			10 	80 	100 	The user burrows, then attacks on the second turn. It can also be used to exit dungeons.
Dive 			10 	80 	100 	A two-turn attack. The user dives underwater on the first turn, then hits on the next turn.
Dizzy Punch 			10 	70 	100 	The foe is hit with rhythmically launched punches that may also leave it confused.
Double Hit 			10 	35 	90 	The user slams the foe with a long tail, vines, etc. The target is hit twice in a row.
Double Kick 			30 	30 	100 	The foe is quickly kicked twice in succession using both feet.
Double-edge 			15 	120 	100 	A reckless, life- risking tackle. It also damages the user by a fairly large amount, however.
Doubleslap 			10 	15 	85 	The foe is slapped repeatedly, back and forth, two to five times in a row.
Dragon Claw 			15 	80 	100 	The user slashes the foe with huge, sharp claws.
Dragon Rush 			10 	100 	75 	The user tackles the foe while exhibiting overwhelming menace. It may also make the target flinch.
Drain Punch 			5 	60 	100 	An energy-draining punch. The user's HP is restored by half the damage taken by the target.
Drill Peck 			20 	80 	100 	A corkscrewing attack with the sharp beak acting as a drill.
Dynamicpunch 			5 	100 	50 	The foe is punched with the user's full, concentrated power. It confuses the foe if it hits.
Earthquake 			10 	100 	100 	The user sets off an earthquake that hits all the Pokémon in the battle.
Egg Bomb 			10 	100 	75 	A large egg is hurled with maximum force at the foe to inflict damage.
Endeavor 			5 	-- 	100 	An attack move that cuts down the foe's HP to equal the user's HP.
Explosion 			5 	250 	100 	The user explodes to inflict damage on all Pokémon in battle. The user faints upon using this move.
Extremespeed 			5 	80 	100 	The user charges the foe at blinding speed. This attack always goes before any other move.
Facade 			20 	70 	100 	An attack move that doubles its power if the user is poisoned, paralyzed, or has a burn.
Faint Attack 			20 	60 	-- 	The user draws up to the foe disarmingly, then throws a sucker punch. It hits without fail.
Fake Out 			10 	40 	100 	An attack that hits first and makes the target flinch. It only works the first turn the user is in battle.
False Swipe 			40 	40 	100 	A restrained attack that prevents the foe from fainting. The target is left with at least 1 HP.
Feint 			10 	50 	100 	An attack that hits a foe using Protect or Detect. It also lifts the effects of those moves.
Fire Fang 			15 	65 	95 	The user bites with flame-cloaked fangs. It may also make the foe flinch or sustain a burn.
Fire Punch 			15 	75 	100 	The foe is punched with a fiery fist. It may leave the target with a burn.
Fissure 			5 	-- 	30 	The user opens up a fissure in the ground and drops the foe in. The target instantly faints if it hits.
Flail 			15 	-- 	100 	The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.
Flame Wheel 			25 	60 	100 	The user cloaks itself in fire and charges at the foe. It may also leave the target with a burn.
Flare Blitz 			15 	120 	100 	The user cloaks itself in fire and charges at the foe. The user sustains serious damage, too.
Fling 			10 	-- 	100 	The user flings its held item at the foe to attack. Its power and effects depend on the item.
Fly 			15 	90 	95 	The user soars, then strikes on the second turn. It can also be used for flying to any familiar town.
Focus Punch 			20 	150 	100 	The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.
Force Palm 			10 	60 	100 	The foe is attacked with a shock wave. It may also leave the target paralyzed.
Frustration 			20 	-- 	100 	A full-power attack that grows more powerful the less the user likes its Trainer.
Fury Attack 			20 	15 	85 	The foe is jabbed repeatedly with a horn or beak two to five times in a row.
Fury Cutter 			20 	10 	95 	The foe is slashed with scythes or claws. Its power increases if it hits in succession.
Fury Swipes 			15 	18 	80 	The foe is raked with sharp claws or scythes for two to five times in quick succession.
Giga Impact 			5 	150 	90 	The user charges at the foe using every bit of its power. The user must rest on the next turn.
Guillotine 			5 	-- 	30 	A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits.
Gunk Shot 			5 	120 	70 	The user shoots filthy garbage at the foe to attack. It may also poison the target.
Gyro Ball 			5 	-- 	100 	The user tackles the foe with a high-speed spin. The slower the user, the greater the damage.
Hammer Arm 			10 	100 	90 	The user swings and hits with its strong and heavy fist. It lowers the user's Speed, however.
Head Smash 			5 	150 	80 	The user delivers a life-endangering attack at full power. The user also takes terrible damage.
Headbutt 			15 	70 	100 	The user attacks with its head. It may make the foe flinch. To find Pokémon, hit trees.
Hi Jump Kick 			20 	100 	90 	The foe is attacked with a knee kick from a jump. If it misses, the user is hurt instead.
Horn Attack 			25 	65 	100 	The foe is jabbed with a sharply pointed horn to inflict damage.
Horn Drill 			5 	-- 	30 	The foe is stabbed with a horn rotating like a drill. The foe instantly faints if it hits.
Hyper Fang 			15 	80 	90 	The user bites hard on the foe with its sharp front fangs. It may also make the target flinch.
Ice Ball 			20 	30 	90 	The user continually rolls into the foe over five turns. It becomes stronger each time it hits.
Ice Fang 			15 	65 	95 	The user bites with cold-infused fangs. It may also make the foe flinch or freeze.
Ice Punch 			15 	75 	100 	The foe is punched with an icy fist. It may leave the target frozen.
Ice Shard 			30 	40 	100 	The user flash freezes chunks of ice and hurls them. This move always goes first.
Icicle Spear 			30 	10 	100 	The user launches sharp icicles at the foe. It strikes two to five times in a row.
Iron Head 			15 	80 	100 	The foe slams the target with its steel-hard head. It may also make the target flinch.
Iron Tail 			15 	100 	75 	The foe is slammed with a steel-hard tail. It may also lower the target's Defense stat.
Jump Kick 			25 	85 	95 	The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.
Karate Chop 			25 	50 	100 	The foe is attacked with a sharp chop. It has a high critical-hit ratio.
Knock Off 			20 	20 	100 	The user slaps down the foe's held item, preventing the item from being used during the battle.
Last Resort 			5 	130 	100 	This move can be used only after the user has used all the other moves it knows in the battle.
Leaf Blade 			15 	90 	100 	The foe is slashed with a sharp leaf. It has a high critical-hit ratio.
Leech Life 			15 	20 	100 	A blood-draining attack. The user's HP is restored by half the damage taken by the target.
Lick 			30 	20 	100 	The foe is licked with a long tongue, causing damage. It may also paralyze the target.
Low Kick 			20 	-- 	100 	A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes.
Mach Punch 			30 	40 	100 	The user throws a punch at blinding speed. It is certain to strike first.
Magnet Bomb 			20 	60 	-- 	The user launches a steel bomb that sticks to the target. This attack will not miss.
Magnitude 			30 	-- 	100 	The user looses a ground-shaking quake affecting everyone in battle. Its power varies.
Mega Kick 			5 	120 	75 	The foe is attacked by a kick launched with muscle-packed power.
Mega Punch 			20 	80 	85 	The foe is slugged by a punch thrown with muscle-packed power.
Megahorn 			10 	120 	85 	Using its tough and impressive horn, the user rams into the foe with no letup.
Metal Burst 			10 	-- 	100 	The user retaliates against the foe that last inflicted damage on it with much greater power.
Metal Claw 			35 	50 	95 	The foe is raked with steel claws. It may also raise the user's Attack stat.
Meteor Mash 			10 	100 	85 	The foe is hit with a hard punch fired like a meteor. It may also raise the user's Attack.
Natural Gift 			15 	-- 	100 	The user draws power to attack by using its held Berry. The Berry determines its type and power.
Needle Arm 			15 	60 	100 	The user attacks by wildly swinging its thorny arms. It may also make the target flinch.
Night Slash 			15 	70 	100 	The user slashes the foe the instant an opportunity arises. It has a high critical-hit ratio.
Outrage 			15 	120 	100 	The user rampages and attacks for two to three turns. However, it then becomes confused.
Pay Day 			20 	40 	100 	Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.
Payback 			10 	50 	100 	If the user can use this attack after the foe attacks, its power is doubled.
Peck 			35 	35 	100 	The foe is jabbed with a sharply pointed beak or horn.
Pin Missile 			20 	14 	85 	Sharp pins are shot at the foe in rapid succession. They hit two to five times in a row.
Pluck 			20 	60 	100 	The user pecks the foe. If the foe is holding a Berry, the user plucks it and gains its effect.
Poison Fang 			15 	50 	100 	The user bites the foe with toxic fangs. It may also leave the foe badly poisoned.
Poison Jab 			20 	80 	100 	The foe is stabbed with a tentacle or arm steeped in poison. It may also poison the foe.
Poison Sting 			35 	15 	100 	The foe is stabbed with a poisonous barb of some sort. It may also poison the target.
Poison Tail 			25 	50 	100 	An attack with a high critical-hit ratio. This tail attack may also poison the foe.
Pound 			35 	40 	100 	The foe is physically pounded with a long tail or a foreleg, etc.
Power Whip 			10 	120 	85 	The user violently whirls its vines or tentacles to harshly lash the foe.
Present 			15 	-- 	90 	The user attacks by giving the foe a booby-trapped gift. It restores HP sometimes, however.
Psycho Cut 			20 	70 	100 	The user tears at the foe with blades formed by psychic power. It has a high critical-hit ratio.
Punishment 			5 	-- 	100 	This attack's power increases the more the foe has powered up with stat changes.
Pursuit 			20 	40 	100 	An attack move that inflicts double damage if used on a foe that is switching out of battle.
Quick Attack 			30 	40 	100 	The user lunges at the foe at a speed that makes it almost invisible. It is sure to strike first.
Rage 			20 	20 	100 	While this move is in use, it gains attack power each time the user is hit in battle.
Rapid Spin 			40 	20 	100 	A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes.
Razor Leaf 			25 	55 	95 	Sharp-edged leaves are launched to slash at the foe. It has a high critical-hit ratio.
Return 			20 	-- 	100 	A full-power attack that grows more powerful the more the user likes its Trainer.
Revenge 			10 	60 	100 	An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.
Reversal 			15 	-- 	100 	An all-out attack that becomes more powerful the less HP the user has.
Rock Blast 			10 	25 	80 	The user hurls hard rocks at the foe. Two to five rocks are launched in quick succession.
Rock Climb 			20 	90 	85 	A charging attack that may also leave the foe confused. It can also be used to scale rocky walls.
Rock Slide 			10 	75 	90 	Large boulders are hurled at the foe to inflict damage. It may also make the target flinch.
Rock Smash 			15 	40 	100 	The user hits with a punch that may lower the target's Defense. It can also smash cracked boulders.
Rock Throw 			15 	50 	90 	The user picks up and throws a small rock at the foe to attack.
Rock Tomb 			10 	50 	80 	Boulders are hurled at the foe. It also lowers the foe's Speed by preventing its movement.
Rock Wrecker 			5 	150 	90 	The user launches a huge boulder at the foe to attack. It must rest on the next turn, however.
Rolling Kick 			15 	60 	85 	The user lashes out with a quick, spinning kick. It may also make the target flinch.
Rollout 			20 	30 	90 	The user continually rolls into the foe over five turns. It becomes stronger each time it hits.
Sacred Fire 			5 	100 	95 	The foe is razed with a mystical fire of great intensity. It may also leave the target with a burn.
Sand Tomb 			15 	15 	70 	The user traps the foe inside a harshly raging sandstorm for two to five turns.
Scratch 			35 	40 	100 	Hard, pointed, and sharp claws rake the foe to inflict damage.
Secret Power 			20 	70 	100 	The user attacks with a secret power. Its added effects vary depending on the user's environment.
Seed Bomb 			15 	80 	100 	The user slams a barrage of hard- shelled seeds down on the foe from above.
Seismic Toss 			20 	-- 	100 	The foe is thrown using the power of gravity. It inflicts damage equal to the user's level.
Selfdestruct 			5 	200 	100 	The user blows up to inflict damage on all Pokémon in battle. The user faints upon using this move.
Shadow Claw 			15 	70 	100 	The user slashes with a sharp claw made from shadows. It has a high critical-hit ratio.
Shadow Force 			5 	120 	100 	The user disappears, then strikes the foe on the second turn. It hits even if the foe protects itself.
Shadow Punch 			20 	60 	-- 	The user throws a punch at the foe from the shadows. The punch lands without fail.
Shadow Sneak 			30 	40 	100 	The user extends its shadow and attacks the foe from behind. This move always goes first.
Skull Bash 			15 	100 	100 	The user tucks in its head to raise its Defense in the first turn, then rams the foe on the next turn.
Sky Attack 			5 	140 	90 	A second-turn attack move with a high critical-hit ratio. It may also make the target flinch.
Sky Uppercut 			15 	85 	90 	The user attacks the foe with an uppercut thrown skyward with force.
Slam 			20 	80 	75 	The foe is slammed with a long tail, vines, etc., to inflict damage.
Slash 			20 	70 	100 	The foe is attacked with a slash of claws, etc. It has a high critical-hit ratio.
Smellingsalt 			10 	60 	100 	This attack inflicts double damage on a paralyzed foe. It also cures the foe's paralysis, however.
Spark 			20 	65 	100 	The user throws an electrically charged tackle at the foe. It may also leave the target paralyzed.
Spike Cannon 			15 	20 	100 	Sharp spikes are fired at the foe to strike two to five times in rapid succession.
Steel Wing 			25 	70 	90 	The foe is hit with wings of steel. It may also raise the user's Defense stat.
Stomp 			20 	65 	100 	The foe is stomped with a big foot. It may also make the target flinch.
Stone Edge 			5 	100 	80 	The user stabs the foe with a sharpened stone. It has a high critical-hit ratio.
Strength 			15 	80 	100 	The foe is slugged with a punch thrown at maximum power. It can also be used to move boulders.
Struggle 			1 	50 	-- 	An attack that is used in desperation only if the user has no PP. It also hurts the user slightly.
Submission 			25 	80 	80 	The user grabs the foe and recklessly dives for the ground. It also hurts the user slightly.
Sucker Punch 			5 	80 	100 	This move enables the user to attack first. It fails if the foe is not readying an attack, however.
Super Fang 			10 	-- 	90 	The user chomps hard on the foe with its sharp front fangs. It cuts the target's HP to half.
Superpower 			5 	120 	100 	The user attacks the foe with great power. However, it also lowers the user's Attack and Defense.
Tackle 			35 	35 	95 	A physical attack in which the user charges and slams into the foe with its whole body.
Take Down 			20 	90 	85 	A reckless, full-body charge attack for slamming into the foe. It also damages the user a little.
Thief 			10 	40 	100 	The user attacks and steals the foe's held item simultaneously. It can't steal if the user holds an item.
Thrash 			20 	90 	100 	The user rampages and attacks for two to three turns. It then becomes confused, however.
Thunder Fang 			15 	65 	95 	The user bites with electrified fangs. It may also make the foe flinch or become paralyzed.
Thunderpunch 			15 	75 	100 	The foe is punched with an electrified fist. It may leave the target with paralysis.
Triple Kick 			10 	10 	90 	A consecutive three- kick attack that becomes more powerful with each successive hit.
Twineedle 			20 	25 	100 	The foe is stabbed twice by a pair of stingers. It may also poison the target.
U-turn 			20 	70 	100 	After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
Vicegrip 			30 	55 	100 	Huge, impressive pincers grip and squeeze the foe.
Vine Whip 			15 	35 	100 	The foe is struck with slender, whiplike vines to inflict damage.
Vital Throw 			10 	70 	-- 	The user allows the foe to attack first. In return, this throw move is guaranteed not to miss.
Volt Tackle 			15 	120 	100 	The user electrifies itself, then charges at the foe. It causes considerable damage to the user as well.
Wake-up Slap 			10 	60 	100 	This attack inflicts high damage on a sleeping foe. It also wakes the foe up, however.
Waterfall 			15 	80 	100 	The user charges at the foe rapidly, and may make it flinch. It can also be used to climb a waterfall.
Wing Attack 			35 	60 	100 	The foe is struck with large, imposing wings spread wide to inflict damage.
Wood Hammer 			15 	120 	100 	The user slams its rugged body into the foe to attack. The user also sustains serious damage.
Wrap 			20 	15 	85 	A long body or vines are used to wrap and squeeze the foe for two to five turns.
X-scissor 			15 	80 	100 	The user slashes at the foe by crossing its scythes or claws as if they were a pair of scissors.
Zen Headbutt 			15 	80 	90 	The user focuses its willpower to its head and rams the foe. It may also make the target flinch. 
Absorb 			25 	20 	100 	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
Acid 			30 	40 	100 	The foe is attacked with a spray of harsh acid. It may also lower the target's Sp. Def stat.
Aeroblast 			5 	100 	95 	A vortex of air is shot at the foe to inflict damage. It has a high critical-hit ratio.
Air Cutter 			25 	55 	95 	The user launches razorlike wind to slash the foe. It has a high critical-hit ratio.
Air Slash 			20 	75 	95 	The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
Ancientpower 			5 	60 	100 	The user attacks with a prehistoric power. It may also raise all the user's stats at once.
Aura Sphere 			20 	90 	-- 	The user looses a blast of aura power from deep within its body. This move is certain to hit.
Aurora Beam 			20 	65 	100 	The foe is hit with a rainbow-colored beam. It may also lower the target's Attack stat.
Blast Burn 			5 	150 	90 	The foe is razed by a fiery explosion. The user must rest on the next turn, however.
Blizzard 			5 	120 	70 	A howling blizzard is summoned to strike the foe. It may also freeze the target solid.
Brine 			10 	65 	100 	If the foe's HP is down to about half, this attack will hit with double the power.
Bubble 			30 	20 	100 	A spray of countless bubbles is jetted at the foe. It may also lower the target's Speed stat.
Bubblebeam 			20 	65 	100 	A spray of bubbles is forcefully ejected at the foe. It may also lower the target's Speed stat.
Bug Buzz 			10 	90 	100 	The user vibrates its wings to generate a damaging sound wave. It may also lower the foe's Sp. Def stat.
Charge Beam 			10 	50 	90 	The user fires a concentrated bundle of electricity. It may also raise the user's Sp. Atk stat.
Chatter 			20 	60 	100 	The user attacks using a sound wave based on words it has learned. It may also confuse the foe.
Confusion 			25 	50 	100 	The foe is hit by a weak telekinetic force. It may also leave the foe confused.
Dark Pulse 			15 	80 	100 	The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.
Discharge 			15 	80 	100 	A flare of electricity is loosed to strike all Pokémon in battle. It may also cause paralysis.
Doom Desire 			5 	120 	85 	Two turns after this move is used, the user blasts the foe with a concentrated bundle of light.
Draco Meteor 			5 	140 	90 	Comets are summoned down from the sky. The attack's recoil sharply reduces the user's Sp. Atk stat.
Dragon Pulse 			10 	90 	100 	The foe is attacked with a shock wave generated by the user's gaping mouth.
Dragon Rage 			10 	-- 	100 	The foe is stricken by a shock wave. This attack always inflicts 40 HP damage.
Dragonbreath 			20 	60 	100 	The user exhales a mighty gust that inflicts damage. It may also paralyze the target.
Dream Eater 			15 	100 	100 	An attack that works only on a sleeping foe. It absorbs half the damage caused to heal the user's HP.
Earth Power 			10 	90 	100 	The user makes the ground under the foe erupt with power. It may also lower the target's Sp. Def.
Ember 			25 	40 	100 	The foe is attacked with small flames. The target may also be left with a burn.
Energy Ball 			10 	80 	100 	The user draws power from nature and fires it at the foe. It may also lower the target's Sp. Def.
Eruption 			5 	150 	100 	The user attacks in an explosive fury. The lower the user's HP, the less powerful this attack becomes.
Extrasensory 			30 	80 	100 	The user attacks with an odd, unseeable power. It may also make the foe flinch.
Fire Blast 			5 	120 	85 	The foe is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.
Fire Spin 			15 	15 	70 	The foe becomes trapped within a fierce vortex of fire that rages for two to five turns.
Flamethrower 			15 	95 	100 	The foe is scorched with an intense blast of fire. The target may also be left with a burn.
Flash Cannon 			10 	80 	100 	The user gathers all its light energy and releases it at once. It may also lower the foe's Sp. Def stat.
Focus Blast 			5 	120 	70 	The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.
Frenzy Plant 			5 	150 	90 	The foe is slammed with an enormous tree. The user can't move on the next turn.
Future Sight 			15 	80 	90 	Two turns after this move is used, the foe is attacked with a hunk of psychic energy.
Giga Drain 			10 	60 	100 	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
Grass Knot 			20 	-- 	100 	The user snares the foe with grass and trips it. The heavier the foe, the greater the damage.
Gust 			35 	40 	100 	A gust of wind is whipped up by wings and launched at the foe to inflict damage.
Heat Wave 			10 	100 	90 	The user exhales a heated breath on the foe to attack. It may also leave the target with a burn.
Hidden Power 			15 	-- 	100 	A unique attack that varies in type and intensity depending on the Pokémon using it.
Hydro Cannon 			5 	150 	90 	The foe is hit with a watery blast. The user must rest on the next turn, however.
Hydro Pump 			5 	120 	80 	The foe is blasted by a huge volume of water launched under great pressure.
Hyper Beam 			5 	150 	90 	The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy.
Hyper Voice 			10 	90 	100 	The user lets loose a horribly echoing shout with the power to inflict damage.
Ice Beam 			10 	95 	100 	The foe is struck with an icy-cold beam of energy. It may also freeze the target solid.
Icy Wind 			15 	55 	95 	The user attacks with a gust of chilled air. It also lowers the target's Speed stat.
Judgment 			10 	100 	100 	The user releases countless shots of light. Its type varies with the kind of Plate the user is holding.
Lava Plume 			15 	80 	100 	An inferno of scarlet flames washes over all Pokémon in battle. It may also inflict burns.
Leaf Storm 			5 	140 	90 	A storm of sharp leaves is whipped up. The attack's recoil sharply reduces the user's Sp. Atk stat.
Luster Purge 			5 	70 	100 	The user looses a damaging burst of light. It may also reduce the target's Sp. Def stat.
Magical Leaf 			20 	60 	-- 	The user scatters curious leaves that chase the foe. This attack will not miss.
Magma Storm 			5 	120 	70 	The foe becomes trapped within a maelstrom of fire that rages for two to five turns.
Mega Drain 			15 	40 	100 	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
Mirror Coat 			20 	-- 	100 	A retaliation move that counters any special attack, inflicting double the damage taken.
Mirror Shot 			10 	65 	85 	The user looses a flash of energy from its polished body. It may also lower the target's accuracy.
Mist Ball 			5 	70 	100 	A mistlike flurry of down envelops and damages the foe. It may also lower the target's Sp. Atk.
Mud Bomb 			10 	65 	85 	The user launches a hard-packed mud ball to attack. It may also lower the target's accuracy.
Mud Shot 			15 	55 	95 	The user attacks by hurling a blob of mud at the foe. It also reduces the target's Speed.
Mud-slap 			10 	20 	100 	The user hurls mud in the foe's face to inflict damage and lower its accuracy.
Muddy Water 			10 	95 	85 	The user attacks by shooting out muddy water. It may also lower the foe's accuracy.
Night Shade 			15 	-- 	100 	The user makes the foe see a mirage. It inflicts damage matching the user's level.
Octazooka 			10 	65 	85 	The user attacks by spraying ink in the foe's face or eyes. It may also lower the target's accuracy.
Ominous Wind 			5 	60 	100 	The user creates a gust of repulsive wind. It may also raise all the user's stats at once.
Overheat 			5 	140 	90 	The user attacks the foe at full power. The attack's recoil sharply reduces the user's Sp. Atk stat.
Petal Dance 			20 	90 	100 	The user attacks by scattering petals for two to three turns. The user then becomes confused.
Powder Snow 			25 	40 	100 	The user attacks with a chilling gust of powdery snow. It may also freeze the target.
Power Gem 			20 	70 	100 	The user attacks with a ray of light that sparkles as if it were made of gemstones.
Psybeam 			20 	65 	100 	The foe is attacked with a peculiar ray. It may also leave the target confused.
Psychic 			10 	90 	100 	The foe is hit by a strong telekinetic force. It may also reduce the foe's Sp. Def stat.
Psycho Boost 			5 	140 	90 	The user attacks the foe at full power. The attack's recoil sharply reduces the user's Sp. Atk stat.
Psywave 			15 	-- 	80 	The foe is attacked with an odd, hot energy wave. The attack varies in intensity.
Razor Wind 			10 	80 	100 	A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.
Roar Of Time 			5 	150 	90 	The user blasts the foe with power that distorts even time. The user must rest on the next turn.
Seed Flare 			5 	120 	85 	The user generates a shock wave from within its body. It may also lower the target's Sp. Def.
Shadow Ball 			15 	80 	100 	The user hurls a shadowy blob at the foe. It may also lower the foe's Sp. Def stat.
Sheer Cold 			5 	-- 	30 	The foe is attacked with a blast of absolute-zero cold. The foe instantly faints if it hits.
Shock Wave 			20 	60 	-- 	The user strikes the foe with a quick jolt of electricity. This attack cannot be evaded.
Signal Beam 			15 	75 	100 	The user attacks with a sinister beam of light. It may also confuse the target.
Silver Wind 			5 	60 	100 	The foe is attacked with powdery scales blown by wind. It may also raise all the user's stats.
Sludge 			20 	65 	100 	Unsanitary sludge is hurled at the foe. It may also poison the target.
Sludge Bomb 			10 	90 	100 	The user attacks by hurling filthy sludge at the foe. It may also poison the target.
Smog 			20 	20 	70 	The foe is attacked with a discharge of filthy gases. It may also poison the target.
Snore 			15 	40 	100 	An attack that can be used only if the user is asleep. The harsh noise may also make the foe flinch.
Solarbeam 			10 	120 	100 	A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn.
Sonicboom 			20 	-- 	90 	The foe is hit with a destructive shock wave that always inflicts 20 HP damage.
Spacial Rend 			5 	100 	95 	The user tears the foe along with the space around it. This move has a high critical-hit ratio.
Spit Up 			10 	-- 	100 	The power stored using the move Stockpile is released at once in an attack.
Surf 			15 	95 	100 	It swamps the entire battlefield with a giant wave. It can also be used for crossing water.
Swift 			20 	60 	-- 	Star-shaped rays are shot at the foe. This attack never misses.
Thunder 			10 	120 	70 	A wicked thunderbolt is dropped on the foe to inflict damage. It may also leave the target paralyzed.
Thunderbolt 			15 	95 	100 	A strong electric blast is loosed at the foe. It may also leave the foe paralyzed.
Thundershock 			30 	40 	100 	A jolt of electricity is hurled at the foe to inflict damage. It may also leave the foe paralyzed.
Tri Attack 			10 	80 	100 	The user strikes with a simultaneous three- beam attack. May also paralyze, burn, or freeze the target.
Trump Card 			5 	-- 	-- 	The fewer PP this move has, the more power it has for attack.
Twister 			20 	40 	100 	The user whips up a vicious tornado to tear at the foe. It may also make the foe flinch.
Uproar 			10 	50 	100 	The user attacks in an uproar for two to five turns. Over that time, no one can fall asleep.
Vacuum Wave 			30 	40 	100 	The user whirls its fists to send a wave of pure vacuum at the foe. This move always goes first.
Water Gun 			25 	40 	100 	The foe is blasted with a forceful shot of water.
Water Pulse 			20 	60 	100 	The user attacks the foe with a pulsing blast of water. It may also confuse the foe.
Water Spout 			5 	150 	100 	The user spouts water to damage the foe. The lower the user's HP, the less powerful it becomes.
Weather Ball 			10 	50 	100 	An attack move that varies in power and type depending on the weather.
Whirlpool 			15 	15 	70 	Traps the foe inside a whirlpool that lasts for two to five turns. The user can pass through whirlpools.
Wring Out 			5 	-- 	100 	The user powerfully wrings the foe. The more HP the foe has, the greater this attack's power.
Zap Cannon 			5 	120 	50 	The user fires an electric blast like a cannon to inflict damage and cause paralysis. 
